	C_S27	C_S28	C_S31	C_S43	C_S48	E_S36	E_S41	E_S42	E_S49	E_S50	N_S29	N_S30	N_S37	N_S38	N_S46
ENSG00000289218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000246363	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0
ENSG00000246695	72	141	83	34	121	66	109	121	221	139	80	146	25	257	85
ENSG00000256268	0	0	0	0	1	0	0	4	0	0	0	1	0	0	0
ENSG00000289344	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSG00000289174	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
ENSG00000256732	0	0	0	0	0	0	0	7	2	2	0	0	2	0	0
ENSG00000289319	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0
ENSG00000289046	1	1	0	0	1	1	2	3	1	1	1	10	0	0	0
ENSG00000257443	0	1	3	1	4	1	2	4	0	2	0	2	0	0	0
ENSG00000205885	45	118	114	13	61	58	76	73	67	54	43	263	72	138	50
ENSG00000257261	51	47	47	28	20	23	113	34	96	90	28	106	28	145	32
ENSG00000288941	0	0	0	0	0	0	0	0	0	3	0	0	2	0	0
ENSG00000205791	15	19	14	6	10	1	8	9	14	15	15	18	1	6	10
ENSG00000250166	2	1	0	0	0	1	0	1	0	0	1	1	0	0	0
ENSG00000289557	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0
ENSG00000289516	3	1	0	0	2	0	2	7	9	7	3	0	5	0	0
ENSG00000289040	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0
ENSG00000289310	0	0	1	0	3	0	2	3	5	0	0	0	0	4	0
ENSG00000289476	0	0	0	0	0	0	0	10	1	1	0	0	0	4	1
ENSG00000289369	0	0	1	0	1	1	0	4	5	0	0	0	0	0	1
ENSG00000289437	1	8	1	1	4	0	4	17	5	2	1	3	0	10	0
ENSG00000289283	0	0	0	0	0	0	7	16	4	1	0	1	3	2	0
ENSG00000288863	1	0	3	0	5	0	2	13	4	0	0	0	1	1	0
ENSG00000247498	29	29	24	19	21	21	27	16	42	34	12	36	6	18	14
ENSG00000255621	0	1	1	1	1	0	2	2	7	2	0	0	1	2	4
ENSG00000243129	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSG00000111291	2	6	2	0	5	2	0	1	3	0	2	2	0	1	1
ENSG00000139269	1797	342	680	1180	2000	396	791	215	241	594	970	741	587	266	97
ENSG00000110888	120	235	203	91	124	133	230	147	200	162	106	342	74	134	89
ENSG00000111247	18	170	11	13	6	5	42	16	9	10	7	18	2	0	7
ENSG00000010219	122	173	161	71	54	50	133	27	172	111	54	129	28	73	70
ENSG00000256748	0	0	0	0	0	0	0	1	0	0	0	0	5	0	0
ENSG00000272921	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000111254	19	12	9	12	14	8	11	12	2	21	5	44	14	4	36
ENSG00000256799	2	0	0	0	0	0	3	1	0	1	0	1	0	0	0
ENSG00000256381	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3
ENSG00000139180	178	233	383	108	171	67	221	160	384	159	129	193	134	89	107
ENSG00000255639	0	0	0	0	0	1	0	0	0	1	1	1	0	0	1
ENSG00000255474	0	1	0	0	1	0	4	15	1	0	1	2	0	0	0
ENSG00000130035	1	2	0	0	8	0	0	0	1	2	3	1	2	1	0
ENSG00000256988	0	0	0	0	1	0	0	0	3	0	2	0	0	3	0
ENSG00000151079	0	0	0	1	0	0	3	0	0	0	4	7	0	2	1
ENSG00000255608	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000286866	0	0	3	0	0	0	2	5	0	2	0	0	0	0	4
ENSG00000287835	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
ENSG00000111262	0	0	0	0	8	0	2	0	4	1	0	0	0	0	0
ENSG00000284513	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ENSG00000177990	1	16	1	0	1	11	10	8	15	33	11	3	6	5	5
ENSG00000249753	1	3	0	0	1	0	1	3	2	5	1	0	0	7	0
ENSG00000257005	0	0	0	0	0	0	1	6	1	0	0	0	0	0	0
ENSG00000196935	35	75	43	16	31	27	101	89	103	58	28	54	25	66	17
ENSG00000242087	5	2	1	0	1	1	5	0	4	0	1	1	0	1	0
ENSG00000256571	0	0	0	0	0	0	0	6	5	0	0	0	0	0	0
ENSG00000256399	0	0	0	0	0	0	0	0	4	0	0	0	0	2	1
ENSG00000255780	0	0	0	0	0	0	0	0	2	0	0	0	0	4	0
ENSG00000255886	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000199740	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0
ENSG00000272028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000199903	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSG00000200953	0	0	0	0	0	0	0	2	5	1	0	0	4	6	0
ENSG00000199824	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
ENSG00000185432	6424	4016	11038	5369	4217	1869	2530	5091	5823	4915	2702	7696	5670	7922	4808
ENSG00000289695	1	0	2	0	0	0	0	0	0	1	0	0	0	0	0
ENSG00000271018	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ENSG00000123268	203	244	188	93	174	81	196	155	130	118	58	264	103	142	75
ENSG00000271490	0	0	0	0	0	0	0	1	0	0	0	2	0	2	0
ENSG00000243075	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
ENSG00000186452	4	0	0	0	0	0	1	4	0	1	0	0	1	0	0
ENSG00000271621	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
ENSG00000214511	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000235602	1	5	1	2	2	1	4	8	1	4	0	2	0	1	0
ENSG00000284393	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000256171	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
ENSG00000276417	0	0	1	0	0	0	0	0	0	1	0	0	0	3	0
ENSG00000275367	0	2	3	0	0	5	1	3	7	7	1	3	1	2	0
ENSG00000171847	1	1	0	3	0	3	1	5	3	1	1	7	0	0	0
ENSG00000254016	0	3	0	4	2	1	0	0	1	1	0	6	0	0	0
ENSG00000215241	2	3	1	0	0	2	5	4	4	5	2	5	0	3	3
ENSG00000196465	112	208	178	133	130	77	261	149	357	262	193	240	127	100	100
ENSG00000238943	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000252727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000280345	0	0	1	0	0	0	3	4	0	1	0	0	0	0	0
ENSG00000255967	26	18	23	9	8	9	31	17	24	12	24	24	12	2	10
ENSG00000111732	1	0	0	0	2	0	2	11	4	2	1	1	0	0	0
ENSG00000288043	0	0	0	0	0	0	3	1	1	0	0	0	0	0	0
ENSG00000206636	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0
ENSG00000240739	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000255964	5	6	3	0	1	1	0	6	2	0	7	5	0	1	1
ENSG00000255581	17	19	16	5	21	7	19	23	5	12	10	17	27	9	12
ENSG00000065970	110	178	123	61	122	80	124	143	192	148	83	211	80	70	73
ENSG00000171860	251	173	292	228	64	68	272	116	221	155	103	223	32	50	84
ENSG00000089818	271	412	345	157	226	114	260	214	190	207	157	253	184	235	117
ENSG00000279865	142	172	269	38	123	87	195	173	397	233	159	193	96	75	111
ENSG00000284697	0	6	0	0	3	0	0	0	1	0	4	1	0	3	0
ENSG00000111729	0	0	0	4	0	2	4	2	1	1	0	1	0	0	0
ENSG00000196946	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000286895	0	0	1	1	1	0	0	2	6	1	0	5	1	4	0
ENSG00000256589	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
ENSG00000286504	0	1	2	0	0	0	0	0	8	3	1	2	0	0	0
ENSG00000256101	0	0	1	0	1	0	2	7	0	0	0	0	0	0	0
ENSG00000277952	0	0	0	0	2	0	2	1	1	1	2	0	2	0	0
ENSG00000129317	137	272	129	69	64	70	150	131	99	93	57	169	62	112	50
ENSG00000151239	993	1219	955	555	459	292	866	379	344	375	264	765	386	427	248
ENSG00000258212	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
ENSG00000255920	0	1	0	0	1	0	5	16	15	5	2	3	2	5	2
ENSG00000198001	165	277	225	165	157	125	271	192	200	156	127	257	150	202	94
ENSG00000257258	1	0	1	7	0	0	0	6	0	4	1	0	0	1	0
ENSG00000064763	55	68	54	68	58	32	64	50	53	95	31	106	22	31	29
ENSG00000275278	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0
ENSG00000275476	0	0	4	0	1	0	0	1	1	8	0	0	0	0	3
ENSG00000257176	3	16	12	7	5	3	8	45	13	4	7	10	10	13	11
ENSG00000274315	1	3	5	1	0	1	1	1	7	1	0	2	0	4	1
ENSG00000273680	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000087502	629	515	482	329	270	173	442	171	275	279	166	425	113	239	138
ENSG00000257456	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000084444	71	61	52	35	70	35	42	48	63	46	36	62	20	44	25
ENSG00000257989	0	0	4	0	0	1	1	2	0	2	0	7	2	1	0
ENSG00000258279	0	0	4	0	1	0	3	10	0	2	0	0	0	0	0
ENSG00000167767	1	13	28	8	12	22	128	14	119	50	28	14	3	13	12
ENSG00000257137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000257649	1	2	0	2	3	2	1	0	2	3	0	3	2	0	3
ENSG00000135480	148	577	266	51	215	450	2321	368	3299	1597	811	196	34	62	308
ENSG00000257671	1	7	6	0	1	9	10	2	22	16	5	4	0	1	3
ENSG00000170442	0	0	1	0	5	3	21	0	14	5	6	3	0	6	1
ENSG00000284883	0	0	0	0	0	0	1	2	4	0	0	0	0	0	0
ENSG00000257830	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0
ENSG00000285102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000205426	3	0	4	0	2	4	8	8	14	20	0	1	0	0	5
ENSG00000287051	0	0	0	0	1	4	10	0	15	8	1	1	0	1	4
ENSG00000257829	0	0	0	0	0	1	2	0	1	0	0	0	0	0	0
ENSG00000170523	1	0	0	0	2	0	3	8	0	2	9	0	0	0	1
ENSG00000135443	0	0	0	0	0	0	1	0	0	0	1	1	0	0	2
ENSG00000161849	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
ENSG00000258253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000161850	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000257500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000257844	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000170454	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000185479	0	0	0	0	0	0	8	5	17	0	1	0	0	0	0
ENSG00000170465	0	0	0	0	0	2	0	0	0	1	3	7	0	0	0
ENSG00000205420	0	0	0	0	0	0	0	9	0	0	0	0	0	1	0
ENSG00000186081	2	0	0	0	0	2	0	17	1	3	0	1	0	0	0
ENSG00000139648	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0
ENSG00000170484	1	0	0	1	0	1	1	0	0	0	0	1	0	0	0
ENSG00000170486	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0
ENSG00000257495	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0
ENSG00000186049	0	0	0	0	0	0	0	2	0	1	0	0	0	1	0
ENSG00000258120	1	2	0	0	0	0	0	1	0	0	0	0	0	0	4
ENSG00000155974	3	5	0	1	7	2	17	17	10	9	7	7	6	2	1
ENSG00000198431	1161	2930	949	545	478	390	2931	390	643	648	559	1104	653	432	376
ENSG00000258111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000279176	0	0	2	0	0	0	0	10	0	0	0	0	0	1	0
ENSG00000187950	2	4	2	0	1	4	12	14	3	4	1	1	3	0	4
ENSG00000110921	732	1840	827	661	341	289	487	405	533	569	579	568	760	326	406
ENSG00000121377	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSG00000121314	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000121381	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
ENSG00000256651	0	0	0	0	0	0	0	1	0	0	0	1	0	1	2
ENSG00000111215	0	9	6	0	1	0	10	3	1	4	3	7	1	7	2
ENSG00000212128	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0
ENSG00000134551	0	4	1	0	4	4	6	8	13	6	7	15	1	3	4
ENSG00000212125	3	1	6	0	0	0	6	6	2	2	0	0	1	4	2
ENSG00000263838	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000258181	0	1	0	0	2	0	3	7	3	0	0	1	0	2	4
ENSG00000257925	0	0	1	0	0	0	0	1	0	2	0	0	0	0	0
ENSG00000276454	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000258116	0	0	0	0	0	0	0	2	0	0	1	0	0	3	0
ENSG00000199566	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0
ENSG00000257924	0	1	0	0	0	0	1	6	1	1	0	0	0	0	0
ENSG00000264906	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000276272	3	3	0	0	1	0	4	1	4	3	0	0	1	2	1
ENSG00000274569	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0
ENSG00000111602	345	650	227	154	177	137	251	132	181	198	221	463	189	151	179
ENSG00000170581	781	1065	1095	750	888	791	987	704	1090	907	901	2278	611	1039	752
ENSG00000067182	2310	2546	1963	1625	1651	858	1497	777	1949	1767	1676	2578	1504	1422	1265
ENSG00000029153	41	209	69	62	82	60	188	67	71	73	75	86	59	135	33
ENSG00000245311	0	0	0	0	0	0	3	0	0	0	0	0	0	2	1
ENSG00000288971	0	0	2	0	1	0	4	4	2	0	0	0	0	2	0
ENSG00000119242	308	464	296	320	191	228	281	137	479	416	282	572	143	385	224
ENSG00000270130	0	0	1	0	0	1	0	0	0	1	0	2	0	0	0
ENSG00000270048	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ENSG00000269997	0	0	2	0	5	0	2	0	0	0	0	0	0	0	0
ENSG00000269938	0	0	0	0	1	1	1	0	1	2	0	0	0	2	2
ENSG00000270061	0	0	2	0	2	0	1	0	0	2	0	1	6	8	0
ENSG00000270095	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0
ENSG00000179195	1022	1916	1053	522	642	457	1020	479	451	513	451	1311	619	569	407
ENSG00000274874	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000256827	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0
ENSG00000275389	0	0	1	0	3	1	5	7	0	0	1	1	0	0	2
ENSG00000256596	0	1	0	0	0	0	2	0	0	0	0	0	0	1	0
ENSG00000275967	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
ENSG00000255965	0	0	0	0	3	0	2	5	1	0	1	2	1	0	0
ENSG00000287537	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0
ENSG00000135519	2	25	14	15	8	13	2	12	61	13	18	6	2	4	5
ENSG00000187778	298	616	385	167	187	152	432	170	547	332	307	365	147	219	183
ENSG00000110844	25	64	13	11	17	25	41	14	46	35	19	66	12	19	18
ENSG00000257964	0	0	1	1	0	3	1	0	5	0	0	0	0	1	3
ENSG00000135436	9	2	6	1	6	2	11	5	13	6	3	11	5	7	14
ENSG00000199237	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ENSG00000258284	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0
ENSG00000257243	0	0	0	0	0	1	0	0	1	1	0	0	0	3	0
ENSG00000258104	0	0	0	0	0	0	4	21	0	1	0	1	0	0	0
ENSG00000161791	53	101	42	30	82	110	141	106	265	178	117	192	17	55	74
ENSG00000257570	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSG00000182196	0	4	10	0	11	8	2	6	17	9	2	7	9	6	3
ENSG00000182326	66452	20304	74406	26213	45682	26088	27132	35051	34623	36841	34864	83711	32120	26830	28613
ENSG00000123364	1	0	0	0	0	0	2	0	0	0	0	0	0	0	2
ENSG00000123407	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0
ENSG00000275589	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000277994	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000274817	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000277129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000123388	0	0	0	0	2	0	2	17	1	1	2	0	7	2	1
ENSG00000180818	2	0	1	0	2	0	5	6	0	1	0	0	0	0	2
ENSG00000197757	0	0	0	0	1	0	3	16	8	0	1	0	2	0	1
ENSG00000207924	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000180806	0	1	0	0	0	0	0	3	1	0	0	0	0	0	0
ENSG00000037965	2	0	1	0	0	0	2	18	3	0	0	0	7	0	0
ENSG00000207571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000276045	207	283	224	161	116	112	145	74	221	198	116	335	84	94	83
ENSG00000174527	1	0	6	0	2	1	9	17	0	3	0	1	8	7	5
ENSG00000171840	160	115	159	166	26	19	97	43	105	97	18	60	48	33	73
ENSG00000238370	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000255825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000256150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224438	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
ENSG00000004478	1385	1032	626	742	637	351	1265	381	999	979	561	1180	938	520	449
ENSG00000258325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000258092	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000111203	84	194	118	53	88	80	166	130	200	162	122	148	90	137	81
ENSG00000288984	1	1	0	0	0	0	0	0	2	0	0	1	0	0	0
ENSG00000053702	13	23	8	1	9	20	8	17	37	39	19	27	7	24	10
ENSG00000283297	1	4	1	2	2	7	2	1	4	4	1	7	0	8	0
ENSG00000111206	4	497	1	6	8	11	37	29	20	27	6	27	2	16	14
ENSG00000171792	70	167	72	25	32	29	110	58	86	67	45	78	13	35	34
ENSG00000078246	80	248	68	79	49	74	100	59	171	156	75	129	21	72	70
ENSG00000278356	1	3	0	0	0	1	3	0	4	3	3	3	0	1	0
ENSG00000252996	0	0	0	0	0	0	0	5	2	0	0	0	0	0	0
ENSG00000197905	38	64	68	14	7	25	75	34	122	68	31	22	8	16	30
ENSG00000250899	15	18	12	6	13	8	11	8	11	18	13	3	3	4	3
ENSG00000234589	161	121	204	51	134	53	199	136	470	182	160	90	203	193	116
ENSG00000011105	860	912	932	612	789	593	642	654	1134	1046	1187	2281	603	626	708
ENSG00000278469	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000256197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000275850	0	0	0	0	1	0	2	3	1	2	1	3	0	1	0
ENSG00000227081	244	183	228	168	60	115	164	81	301	261	123	182	14	180	111
ENSG00000287712	0	0	2	0	7	0	2	8	2	0	0	0	0	0	0
ENSG00000236908	1	0	0	0	0	0	0	0	1	0	0	0	0	4	1
ENSG00000257048	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0
ENSG00000111218	0	0	0	0	0	2	1	0	0	0	0	0	2	0	0
ENSG00000256691	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
ENSG00000243507	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000280202	3	6	2	4	7	5	3	5	5	3	8	12	2	2	1
ENSG00000222338	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000180881	23	53	41	8	28	29	41	40	42	34	23	48	18	40	17
ENSG00000165935	2	3	0	1	6	0	3	12	16	4	2	6	3	3	0
ENSG00000076248	372	392	368	273	260	213	337	224	356	365	312	656	187	180	238
ENSG00000256139	14	20	6	2	6	4	8	4	8	13	8	27	0	8	6
ENSG00000284723	0	0	0	0	0	0	3	1	4	1	2	0	0	0	0
ENSG00000111325	0	10	1	0	0	1	2	0	0	4	1	5	1	0	0
ENSG00000283536	0	0	0	1	0	0	1	0	3	0	0	0	0	0	0
ENSG00000198678	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000135114	47	65	71	69	95	27	544	29	149	128	132	186	23	33	56
ENSG00000121318	0	6	0	0	3	3	4	1	2	0	0	2	0	0	0
ENSG00000177084	268	538	229	153	186	193	214	214	270	263	236	573	186	214	255
ENSG00000289229	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSG00000278475	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSG00000265093	0	0	0	0	0	0	3	3	5	1	0	0	0	3	2
ENSG00000270429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000289401	0	13	9	5	1	2	2	3	6	3	0	7	0	7	3
ENSG00000139636	95	219	141	62	107	122	285	141	359	211	155	332	90	174	112
ENSG00000135506	5020	3569	3483	4401	2343	1729	2688	1733	4430	4265	3332	5652	1772	1900	3156
ENSG00000227525	5	7	15	2	5	1	11	14	14	10	9	9	11	0	0
ENSG00000256844	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0
ENSG00000253284	1	4	0	1	7	1	7	8	6	5	0	0	0	8	0
ENSG00000240993	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ENSG00000243854	0	1	0	0	1	0	2	3	1	0	0	2	0	3	0
ENSG00000255909	5	0	4	0	1	0	3	2	1	1	0	3	10	0	0
ENSG00000271462	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000200247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000245205	302	240	337	92	437	133	686	711	303	331	610	280	453	159	225
ENSG00000240328	0	0	0	0	0	0	3	0	0	0	0	0	0	3	0
ENSG00000287074	0	3	0	0	0	2	0	5	2	0	0	1	5	1	0
ENSG00000255652	0	1	3	0	3	0	2	16	10	3	2	2	0	0	0
ENSG00000289832	28	19	6	16	30	6	8	26	16	24	22	38	9	19	26
ENSG00000289595	2	4	20	0	0	5	8	10	10	4	0	3	3	5	13
ENSG00000289101	0	0	2	0	0	0	3	8	1	1	0	0	2	1	2
ENSG00000255794	1	2	1	0	11	4	4	10	12	7	8	4	8	0	0
ENSG00000289854	1	1	0	0	0	0	2	5	0	0	1	0	0	0	1
ENSG00000286279	3	0	0	0	0	0	0	16	4	5	0	0	0	1	0
ENSG00000246394	1	0	0	0	0	0	1	1	0	0	0	1	0	0	3
ENSG00000256128	0	0	1	0	0	0	3	16	3	3	0	2	0	0	1
ENSG00000257496	1	0	3	0	2	3	1	0	3	6	0	6	0	1	0
ENSG00000289510	0	1	14	0	0	0	2	1	5	2	1	1	11	3	5
ENSG00000223914	0	0	2	0	0	0	6	22	4	2	0	0	4	2	3
ENSG00000289909	0	3	1	0	0	1	0	0	1	0	1	0	0	1	0
ENSG00000256001	11	16	7	16	28	5	19	46	9	0	6	20	5	2	3
ENSG00000225231	0	2	0	1	2	0	1	2	0	2	0	0	0	0	0
ENSG00000245904	5	6	8	3	0	6	11	10	24	8	5	11	4	4	6
ENSG00000286021	0	0	0	0	1	0	9	36	1	1	0	0	3	4	1
ENSG00000288729	26	5	60	4	3	3	38	13	9	12	1	22	3	25	31
ENSG00000289940	5	1	0	0	32	3	3	8	20	5	29	3	6	21	5
ENSG00000258137	0	0	0	0	0	0	3	0	3	0	1	0	1	1	0
ENSG00000289311	0	2	0	0	1	0	4	1	0	0	0	2	0	2	0
ENSG00000241388	72	190	70	58	22	46	34	57	138	78	40	180	48	70	57
ENSG00000257815	13	13	19	6	4	19	32	39	38	20	24	20	2	14	8
ENSG00000289949	0	1	0	1	0	0	2	0	1	0	0	0	1	0	0
ENSG00000249267	21	21	13	9	17	43	53	66	22	25	16	96	6	52	11
ENSG00000275180	1	15	8	0	12	6	21	35	19	9	1	12	14	9	5
ENSG00000255399	0	0	0	0	2	0	1	9	1	1	0	0	0	0	2
ENSG00000257526	3	3	8	0	1	2	3	8	0	8	2	6	3	2	9
ENSG00000289980	0	0	4	0	3	0	0	0	0	0	0	0	0	0	0
ENSG00000287075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000290003	1	4	13	3	5	5	7	41	31	6	1	6	3	4	3
ENSG00000257605	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0
ENSG00000257698	8	26	35	10	13	9	19	59	50	39	16	22	13	1	11
ENSG00000251301	3	8	9	0	8	3	21	18	13	8	4	141	0	48	27
ENSG00000256092	3	9	23	3	9	7	14	7	16	13	12	13	12	6	4
ENSG00000256862	0	3	0	0	1	8	11	3	2	1	2	8	0	0	0
ENSG00000289154	0	5	8	0	3	2	5	16	7	5	1	2	7	9	2
ENSG00000290033	0	4	0	0	0	0	4	0	6	3	0	3	0	1	0
ENSG00000289309	0	0	1	2	1	0	3	20	0	1	1	0	0	0	0
ENSG00000256039	2	3	9	0	2	4	4	10	7	3	3	5	3	3	2
ENSG00000257935	0	0	0	3	0	0	1	5	1	0	0	0	0	0	0
ENSG00000257337	37	103	75	36	77	29	67	53	233	148	76	195	54	88	53
ENSG00000290042	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSG00000255946	0	0	0	0	0	0	3	4	1	3	0	0	0	4	2
ENSG00000249550	1	1	0	0	4	0	11	15	2	1	4	1	7	2	0
ENSG00000289387	1	0	0	0	0	0	0	0	0	2	0	0	0	2	0
ENSG00000196668	0	12	11	2	8	2	11	17	8	4	3	1	0	8	0
ENSG00000290048	4	5	10	1	9	4	5	16	34	16	6	10	0	22	5
ENSG00000257303	6	16	7	3	6	6	2	1	7	4	4	8	2	18	4
ENSG00000255760	13	11	22	9	15	3	20	30	20	23	5	33	23	25	11
ENSG00000255801	0	0	7	4	2	0	1	0	5	0	0	0	0	0	6
ENSG00000255857	32	52	27	8	24	6	18	14	32	14	21	21	15	5	6
ENSG00000289173	0	0	2	0	0	0	2	0	1	0	0	0	0	0	0
ENSG00000290059	14	14	15	4	6	7	18	11	4	2	6	23	3	20	5
ENSG00000256020	7	38	12	11	33	7	6	56	80	70	20	17	0	5	13
ENSG00000256262	37	25	60	6	13	12	7	11	28	16	19	35	6	12	9
ENSG00000290036	0	0	0	0	0	0	0	12	2	1	1	2	0	4	0
ENSG00000226711	0	10	5	0	9	5	14	64	21	13	3	2	2	2	9
ENSG00000257433	16	12	22	8	4	8	13	13	39	12	6	19	3	7	19
ENSG00000289384	0	0	0	1	3	2	6	4	12	5	5	1	0	0	0
ENSG00000277283	3	19	16	0	2	2	10	11	19	5	1	6	2	15	5
ENSG00000247774	20	30	10	7	13	13	37	27	117	70	40	36	2	28	20
ENSG00000257878	6	7	16	18	10	7	20	18	11	21	3	12	3	24	23
ENSG00000174243	957	1090	482	541	371	389	741	403	766	728	545	1086	404	373	541
ENSG00000289303	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSG00000288814	1	1	0	0	0	0	0	2	0	1	0	0	0	0	0
ENSG00000272173	4	11	1	1	0	1	0	0	0	0	1	1	1	2	1
ENSG00000257084	0	6	0	0	0	0	0	0	0	1	0	0	0	0	0
ENSG00000126749	58	85	116	27	66	26	47	51	129	47	46	41	62	48	26
ENSG00000290146	0	4	0	0	2	4	3	8	4	3	4	3	0	21	2
